order_id,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,order_priority
AJ-2014-6800,,Bruce Degenhardt,,Balti,Slovenia,,,FUR-BO-10000797,,,"Accos Thumb Tacks, Bulk Pack",
AJ-2014-8550,,Bruce Geld,,Baluchistan,Somalia,,,FUR-BO-10000807,,,"Accos Thumb Tacks, Metal",
AJ-2014-9020,,Bruce Stewart,,Bamako,South Africa,,,FUR-BO-10000820,,,"Acme 10"" Easy Grip Assistive Scissors",
AJ-2014-9550,,Bryan Davis,,Banaadir,South Korea,,,FUR-BO-10000847,,,Acme Box Cutter Scissors,
AJ-2014-9620,,Bryan Mills,,Bandundu,South Sudan,,,FUR-BO-10000883,,,"Acme Box Cutter, Easy Grip",
AL-2011-4500,,Bryan Spruell,,Banghazi,Spain,,,FUR-BO-10000889,,,"Acme Box Cutter, High Speed",
AL-2011-7440,,Candace Mcmahon,,Bangkok,Sri Lanka,,,FUR-BO-10000891,,,"Acme Box Cutter, Serrated",
AL-2011-9500,,Cari Macintyre,,Bangui,Sudan,,,FUR-BO-10000892,,,"Acme Box Cutter, Steel",
AL-2012-8670,,Cari Sayre,,Bani Suwayf,Swaziland,,,FUR-BO-10000895,,,"Acme Design Line 8"" Stainless Steel Bent Scissors W/Champagne Handles, 3-1/8"" Cut",
AL-2012-9220,,Cari Schnelling,,Banska Bystrica,Sweden,,,FUR-BO-10000936,,,Acme Design Stainless Steel Bent Scissors,
AL-2012-9980,,Carl Jackson,,Barahona,Switzerland,,,FUR-BO-10000961,,,Acme Elite Stainless Steel Scissors,
AL-2013-3830,,Carl Ludwig,,Bas-Congo,Syria,,,FUR-BO-10000967,,,Acme Forged Steel Scissors With Black Enamel Handles,
AL-2013-7280,,Carl Weiss,,Basel-Stadt,Taiwan,,,FUR-BO-10000980,,,Acme Galleria Hot Forged Steel Scissors With Colored Handles,
AL-2013-7420,,Carlos Daly,,Bashkortostan,Tajikistan,,,FUR-BO-10001003,,,"Acme Hot Forged Carbon Steel Scissors With Nickel-Plated Handles, 3 7/8"" Cut, 8""L",
AL-2014-8450,,Carlos Meador,,Basilicata,Tanzania,,,FUR-BO-10001010,,,Acme Kleen Earth Office Shears,
AM-2011-7110,,Carlos Soltero,,Basque Country,Thailand,,,FUR-BO-10001039,,,Acme Kleencut Forged Steel Scissors,
AM-2013-2480,,Carol Adams,,Batman,Togo,,,FUR-BO-10001042,,,"Acme Letter Opener, Easy Grip",
AO-2011-1390,,Carol Darley,,Batna,Trinidad And Tobago,,,FUR-BO-10001067,,,"Acme Letter Opener, High Speed",
AO-2011-1670,,Carol Triggs,,Bauchi,Tunisia,,,FUR-BO-10001073,,,"Acme Letter Opener, Serrated",
AO-2011-1710,,Caroline Jumper,,Bavaria,Turkey,,,FUR-BO-10001099,,,"Acme Letter Opener, Steel",
AO-2011-4780,,Cassandra Brandow,,Bay Of Plenty,Turkmenistan,,,FUR-BO-10001133,,,Acme Office Executive Series Stainless Steel Trimmers,
AO-2011-4910,,Catherine Glotzbach,,Bechar,Uganda,,,FUR-BO-10001147,,,Acme Preferred Stainless Steel Scissors,
AO-2011-7110,,Cathy Armstrong,,Beijing,Ukraine,,,FUR-BO-10001155,,,Acme Rosewood Handle Letter Opener,
AO-2011-8000,,Cathy Hwang,,Beirut,United Arab Emirates,,,FUR-BO-10001165,,,"Acme Ruler, Easy Grip",
AO-2011-8260,,Cathy Prescott,,Bejaia,United Kingdom,,,FUR-BO-10001192,,,"Acme Ruler, High Speed",
AO-2011-8430,,Chad Cunningham,,Bekes,United States,,,FUR-BO-10001196,,,"Acme Ruler, Serrated",
AO-2011-9910,,Chad Mcguire,,Belgorod,Uruguay,,,FUR-BO-10001201,,,"Acme Ruler, Steel",
AO-2012-1000,,Chad Sievert,,Bengkulu,Uzbekistan,,,FUR-BO-10001212,,,"Acme Scissors, Easy Grip",
AO-2012-1220,,Charles Crestani,,Benguela,Venezuela,,,FUR-BO-10001216,,,"Acme Scissors, High Speed",
AO-2012-1230,,Charles Mccrossin,,Beni,Vietnam,,,FUR-BO-10001233,,,"Acme Scissors, Serrated",
AO-2012-2480,,Charles Sheldon,,Benue,Yemen,,,FUR-BO-10001254,,,"Acme Scissors, Steel",
AO-2012-2650,,Charlotte Melton,,Berlin,Zambia,,,FUR-BO-10001255,,,Acme Serrated Blade Letter Opener,
AO-2012-2750,,Chloris Kastensmidt,,Bern,Zimbabwe,,,FUR-BO-10001256,,,"Acme Shears, Easy Grip",
AO-2012-2810,,Chris Cortes,,Bie,,,,FUR-BO-10001271,,,"Acme Shears, High Speed",
AO-2012-3210,,Chris Mcafee,,Bihar,,,,FUR-BO-10001276,,,"Acme Shears, Serrated",
AO-2012-5450,,Chris Selesnick,,Bihor,,,,FUR-BO-10001287,,,"Acme Shears, Steel",
AO-2012-6670,,Christina Anderson,,Bingol,,,,FUR-BO-10001295,,,Acme Softgrip Scissors,
AO-2012-7800,,Christina Demoss,,Biobio,,,,FUR-BO-10001309,,,Acme Stainless Steel Office Snips,
AO-2012-7980,,Christina Vanderzanden,,Bishkek,,,,FUR-BO-10001318,,,Acme Tagit Stainless Steel Antibacterial Scissors,
AO-2012-8920,,Christine Abelman,,Bissau,,,,FUR-BO-10001324,,,Acme Titanium Bonded Scissors,
AO-2013-1140,,Christine Kargatis,,Bistrita-Nasaud,,,,FUR-BO-10001326,,,"Acme Trimmer, Easy Grip",
AO-2013-1470,,Christine Phan,,Bitola,,,,FUR-BO-10001337,,,"Acme Trimmer, High Speed",
AO-2013-1640,,Christine Sundaresam,,Boeny,,,,FUR-BO-10001342,,,"Acme Trimmer, Serrated",
AO-2013-2100,,Christopher Conant,,Bogota,,,,FUR-BO-10001356,,,"Acme Trimmer, Steel",
AO-2013-2180,,Christopher Martinez,,Bolivar,,,,FUR-BO-10001358,,,Acme Value Line Scissors,
AO-2013-2230,,Christopher Schild,,Bolu,,,,FUR-BO-10001362,,,Acrylic Self-Standing Desk Frames,
AO-2013-2380,,Christy Brittain,,Borgou,,,,FUR-BO-10001369,,,"Adams ""While You Were Out"" Message Pads",
AO-2013-3830,,Chuck Clark,,Borno,,,,FUR-BO-10001370,,,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",
AO-2013-4310,,Chuck Magee,,Botosani,,,,FUR-BO-10001372,,,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",
AO-2013-6050,,Chuck Sachs,,Boyaca,,,,FUR-BO-10001385,,,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",
AO-2013-6140,,Cindy Chapman,,Braga,,,,FUR-BO-10001387,,,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",
AO-2013-6910,,Cindy Schnelling,,Braila,,,,FUR-BO-10001390,,,"Adams Telephone Message Book W/Frequently-Called Numbers Space, 400 Messages Per Book",
AO-2013-7170,,Cindy Stewart,,Brandenburg,,,,FUR-BO-10001392,,,"Adams Telephone Message Books, 5 1/4” x 11”",
AO-2013-7370,,Claire Gute,,Brasov,,,,FUR-BO-10001393,,,"Adams Write N' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",
AO-2013-9250,,Claudia Bergmann,,Bremen,,,,FUR-BO-10001405,,,Adjustable Depth Letter/Legal Cart,
AO-2014-1550,,Clay Cheatham,,Brest,,,,FUR-BO-10001436,,,Adjustable Personal File Tote,
AO-2014-190,,Clay Ludtke,,British Columbia,,,,FUR-BO-10001452,,,Adtran 1202752G1,
AO-2014-2110,,Clay Rozendal,,Brittany,,,,FUR-BO-10001461,,,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",
AO-2014-2160,,Clytie Kelty,,Brussels,,,,FUR-BO-10001471,,,"Advantus Clamps, 12 Pack",
AO-2014-2270,,Corey Catlett,,Bryansk,,,,FUR-BO-10001476,,,"Advantus Clamps, Assorted Sizes",
AO-2014-2460,,Corey Roper,,Budapest,,,,FUR-BO-10001483,,,"Advantus Clamps, Bulk Pack",
AO-2014-2730,,Corey-Lock,,Buenos Aires,,,,FUR-BO-10001498,,,"Advantus Clamps, Metal",
AO-2014-4190,,Corinna Mitchell,,Bujumbura-Mairie,,,,FUR-BO-10001501,,,"Advantus Clock, Black",
AO-2014-420,,Craig Carreira,,Bulawayo,,,,FUR-BO-10001507,,,"Advantus Clock, Duo Pack",
AO-2014-4830,,Craig Carroll,,Bur Sa'Id,,,,FUR-BO-10001519,,,"Advantus Clock, Durable",
AO-2014-5290,,Craig Leslie,,Burgas,,,,FUR-BO-10001524,,,"Advantus Clock, Erganomic",
AO-2014-5450,,Craig Molinari,,Burgundy,,,,FUR-BO-10001537,,,"Advantus Door Stop, Black",
AO-2014-5560,,Craig Reiter,,Bursa,,,,FUR-BO-10001541,,,"Advantus Door Stop, Duo Pack",
AO-2014-620,,Craig Yedwab,,Busan,,,,FUR-BO-10001553,,,"Advantus Door Stop, Durable",
AO-2014-650,,Cyma Kinney,,Bushehr,,,,FUR-BO-10001555,,,"Advantus Door Stop, Erganomic",
AO-2014-6780,,Cynthia Arntzen,,Buskerud,,,,FUR-BO-10001558,,,"Advantus Employee Of The Month Certificate Frame, 11 X 13-1/2",
AO-2014-6900,,Cynthia Delaney,,Buzau,,,,FUR-BO-10001567,,,"Advantus Frame, Black",
AO-2014-7730,,Cynthia Voltz,,Cabo Delgado,,,,FUR-BO-10001580,,,"Advantus Frame, Duo Pack",
AO-2014-7960,,Cyra Reiten,,Cajamarca,,,,FUR-BO-10001585,,,"Advantus Frame, Durable",
AO-2014-8210,,Damala Kotsonis,,Calabarzon,,,,FUR-BO-10001596,,,"Advantus Frame, Erganomic",
AO-2014-8250,,Dan Campbell,,Calabria,,,,FUR-BO-10001598,,,"Advantus Light Bulb, Black",
AO-2014-9370,,Dan Lawera,,Caldas,,,,FUR-BO-10001601,,,"Advantus Light Bulb, Duo Pack",
AU-2011-0,,Dan Reichenbach,,California,,,,FUR-BO-10001608,,,"Advantus Light Bulb, Durable",
AU-2011-3990,,Dana Kaydos,,Callao,,,,FUR-BO-10001619,,,"Advantus Light Bulb, Erganomic",
AU-2011-4210,,Daniel Byrd,,Camaguey,,,,FUR-BO-10001621,,,Advantus Map Pennant Flags And Round Head Tacks,
AU-2011-5790,,Daniel Lacy,,Campania,,,,FUR-BO-10001641,,,Advantus Motivational Note Cards,
AU-2011-790,,Daniel Raglin,,Campeche,,,,FUR-BO-10001646,,,Advantus Panel Wall Acrylic Frame,
AU-2011-9050,,Dario Medina,,Canakkale,,,,FUR-BO-10001668,,,Advantus Panel Wall Certificate Holder - 8.5X11,
AU-2012-1790,,Darren Budd,,Canelones,,,,FUR-BO-10001679,,,"Advantus Paper Clips, Assorted Sizes",
AU-2012-4970,,Darren Koutras,,Cantabria,,,,FUR-BO-10001699,,,"Advantus Paper Clips, Bulk Pack",
AU-2012-5610,,Darren Powers,,Canterbury,,,,FUR-BO-10001708,,,"Advantus Paper Clips, Metal",
AU-2012-6590,,Darrin Martin,,Caqueta,,,,FUR-BO-10001714,,,"Advantus Photo Frame, Black",
AU-2012-7410,,Darrin Sayre,,Carabobo,,,,FUR-BO-10001721,,,"Advantus Photo Frame, Duo Pack",
AU-2012-940,,Darrin Van Huff,,Caras-Severin,,,,FUR-BO-10001739,,,"Advantus Photo Frame, Durable",
